Manuscript_ID	Surface_ID	Image_Path_Relative	WER	CER	Ground_Truth_Normalized	OCR_Output_Normalized
Jarring_Prov_2	1a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_001_r.Lanczos.800.65_1a.jpg	12.5000	7.0000	رسالۀ کاسیب	12m 2 DK 93 310106 3 4 5 رسالہ کا سیب PROV 2 Hultafors Sweden 6 ID 7 8 9 10 11 12 13 KK
Jarring_Prov_2	2b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_002_v.Lanczos.800.65_2b.jpg	0.9091	0.7110	بو کتاب اوچ باب بولدی صحیفه اوّلقی رسالهء -- روغن کش ٣-٥٥ ایکنجی رسالهء -- دهقان ٥٥-٧٣ اوچونجی رسالهء -- باپنده ۸۷-۷۴ بو کتاب اوچ باب بولدی بو کتاب اوچ باب بولدی صحیفه صحیفه اوّلقی رسالهء -- روغن کش ٣-٥٥ اوّلقی رسالهء -- روغن کش ٣-٥٥ ایکنجی رسالهء -- دهقان ٥٥-٧٣ ایکنجی رسالهء -- دهقان ٥٥-٧٣ اوچونجی رسالهء -- باپنده ۸۷-۷۴ اوچونجی رسالهء -- باپنده ۸۷-۷۴	فہرست بو کتاب اوچ باب بولدی اولقی رسالہ - - روغن کشی ایکنی رساك - - دہقان صحیفہ ۵۵-۳ ۷۳-۵۵ اوچونی رساله - - پاپنده با کار ۷۴ - ۸۷
Jarring_Prov_2	3a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_003_r.Lanczos.800.65_3a.jpg	0.6739	0.2355	رساله روغن کش بو ترور بسم اللهِ الرّحْمنِ الرَّحیم اَلْحَمْدُ اِلله رَبِّ الْعٰالَمِيْنَ وَالْعٰاَقبَةَ الِْلّمُتَّقِيْنَ الصّٰلواة والسّلام عَلىٰ رَسُوَلُهِ مُحَمَّدْ وَاٰلهِ واَصحابَهِ اجمعين بعد از حمد خدای عالمیان ودرودی حضرت محمَّد مصطفی صلی الله علیه وسلم و امّا حضرت اِمام جعفری صادق و رهنمای موافیق رضی	3 رساله روغن کش بو ترور بسم الله الرحمن الريم الحمدُ اللهِ رَبِّ الْعالَمينَ وَالْعَاقَة اللمتقين الصلواة والسلام عَلَى رَسُولِ مُحمد وال واصحابه اجمعان بعد از حمد C خدای عالمیان و در و دی حضرت محمد مصطفے صلی اللہ علیہ وسلم و امام حضرت امام جعفری صادق و رهنمای موافیق رضی ۵۵ VE A
Jarring_Prov_2	3b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_003_v.Lanczos.800.65_3b.jpg	0.7368	0.1911	رضی الله عنه انداغ روایت قیلیب دور لارکیم بو رسالۀ روغن کش لیک نی انداغ بیان قیلیب دورلارکیم حضرت آدم علیه السّلام بدرکاه قاضی الحاجات قیلیب ایدیلارکیم ای بارا خدایا خداوند منکا کچه لاردا روشن لیک عطا قیلسانک کوروب طاعت و عبادت قیلسام دیب ناله و زار قیلدیلار اول زمان حضرت جبرائیل علیه السّلام غه فرمان بولدیکیم ای جبرائیل تیز تین بارغیل و اول فخری بنی آدم لارنینک اتاسی حضرت آدم علیه السّلام غه روشن گر	على ا ا ا ا ا ا ا ا ر ا ی قبلی در لاریم بو رسالہ روغن کش لیک نے انواع بیان قالب دور لاریم حضرت آدم علیہ اسلام بدانی قاضی الحاجات قبلیب ایدیلاریم ای بارا خدایا خداوند منکا کچه لاردا روشن ایک عطا قبل سانک کو روب طاعت و عبادت قبل سام دیب نالہ وزار فیلد بلار اول زمان حضرت جبرائیل علیه السلام در فرمان بودند یکم این برای تمیز تن با دخیل واول فهری بنی آدم لا زیات انا سی حضرت آدم علیہ السلام نہ روشن گر
Jarring_Prov_2	4a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_004_r.Lanczos.800.65_4a.jpg	0.7632	0.2463	لیک نی تعلیم برکیل دیب فرمان الهی بولدی حضرت آدم علیه السّلامغه حضرت جبرائیل علیه السّلام تیزتین کلیب ایدیکیم ای آدم سنکا خدای تبارک و تعالی سلام یارلیقادی ایدی دوستوم آدم غه هنر تعلیم برکیل دیب روشن گرلیک نی تعلیم بردی .روشن کرلیک اندین قالدی خضرت امام جعفری صادق رضی الله عنه انداغ روایت قیلیب دورلارکیم و همه پرلار اوشبو نچرلار دین کسب هنرلاریکه رونق و برکت الیب دور طریقه روغن کش لیک روشن کرلیک دین	یک فنی تعلیم پر کیل دیب فرمانی المی بواری ایک حضرت آدم علیہ السلامعہ حضرت جبرائیل علیہ السلام برای تیزن کلب اید یکم ای آدم شناخدای تبارک اور و تعالی سلام یار لتقادی ایدی دوستوم آدم نمه پر تعلم برکیل دیب روشن گریه ها تعلم بردن نے روشن کر ایک الدین قالدی . . حضرت امام جعفری صادق رضی اللہ عن النزاع و روایت قلیل دور ایک بیمه پر لارا و شبو پرلار وسلاریم و دین کسب ہزار یکه رونق و برکت الیدور طریقہ روغن کش ایک روشن کر ایک دین
Jarring_Prov_2	4b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_004_v.Lanczos.800.65_4b.jpg	0.7042	0.2119	قالدی اکر سورسه لارکیم اوسته روغن کش لیکده نچه ولی نچه مرشید کامل و نچه اولیای عظام .روغن کش لیک قیلیب اوتوب دورلار جواب اون یته مرشید اوتوبدورلار. اولار قایسی قایسی جواب اوّل عبد العلیم روشن گری ایکنجی عبد رحمان روشن گری اوچونجی اوسته عبد رحیم روشن گری تورتونجی اوسته عبد الواحد روشن کری بشنجی اوسته بابا رومی التنجی اوسته عبد الخاری یتنجی اوسته نظام الدّین طوسی سکزنجی اوسته عبد الجلیل	قالدی اگر سورسه لاریکم اوسته روغن کشی سورسها لیکده بچه ولی چه فرشید کامل و بچه اولیای عظام نار ات روغن کشی ایک قبلی او توب دورلان جواب اون ایته مرکند او تولد دور لانه اولار ایکس الله قایی قاین جواب اول عبدالعلیم روشن گری ایکنی عبد رحمان روشن گری اور چونتی اولته عبد رحیم روشن گری تور تونجی اوسته عبد الواحد روشن کری بشینی اولته بالات رومی التلخی اولته عبد الخاری تخی اولته نظام الدین طوسی سکز نمی اولته عبد الجلیان تا ثه
Jarring_Prov_2	5a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_005_r.Lanczos.800.65_5a.jpg	0.8939	0.2219	تاشکندی توقوزنجی اوسته جلال الدّین اندیجانی اونونجی اوسته محمودی بلخی اون برنجی اوسته شمش الدّین کاشغری اون ایکنجی اوسته عمر بغدادی اون اوچونجی اوسته روستم کابلی اون تورتونجی اوسته عشق الله تبریزی اون بشنجی اوسته مغربی اون التنجی اوسته حشام الدّین ثمرقندی اون یتنجی اوسته نصر الله شامی اوشبو مذکور پرلار و اوستادلار رسالۀ برله عمل قیلیب دور هر اوسته روغن کش لیک که کسب قیلیب	S1. اس عظام لا من تاشکندی تو قوز نجی اوسته جلال الدین اندیجانے اونونی اولته محمودی بلخی اولا برنجی اوستہ شمش الدین کا شعری اول ایکنی اولته عمر بغدادی اول او چونجی اوسته روستم کابلے اور تو ر تو نبی اوسته عشق الله تبریزی اول بشی اوستہ مغر بے اول النبی اولته حسام الدین ثمرقندی اول منجی اور نصیر اللہ شامی اول بو مذکور پرلار و اوستا دلار رسالہ براہ عمل قبایت اور ہر اولتر روغن کشی ایک کہ کر مطالب
Jarring_Prov_2	5b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_005_v.Lanczos.800.65_5b.jpg	0.5333	0.1505	دورلار رساله که عمل قیلیب دورلار و ینه کاسیب روغن کش لیک قیلیب دورلار رساله ساقلاماب دورلار رسالۀ که عمل قیلماب دورلار رسالۀ ایچیداکی پر مرشیدلارکه و مذکور شریعت و طریقت و حقیقت و معرفت و مذهب و ملّت و فرض واجب سنت و مستجب و ادب و آرکان شرایط لارنی بقدر حال بیلکایلار نام نیام بای بجای بیلمان روغن کش لیک قیلغان بولسه لار جزای آخرت دا عقوبت که کرفتار بولغایلار بو رساله نی	A دورلار رساله که عمل قبلی در لار و نیند کا سیب روغن کش ایک قیلیب دور لار رسالہ ساقلاماب دور لار رساله که عمل فیلماب دورلار رساله اینجیلا کی پر مرید لارکہ مذکور شریعت و طریقت و حقیقت و معرفت و مذہب و ملت و فرض واجب سنت و مستجد وادب و آرکان شرایط لارینی بقدر چال بیلکایلار نامه نیام بای بجای بیلمان روغن کشی ایک قبلغان بولسه لار جنرای آخرت را تقویت که کرفتار بولغایلار بور سال بینی ہفتہ 317 3
Jarring_Prov_2	6a	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_006_r.Lanczos.800.65_6a.jpg	0.8442	0.2478	هفته دا یا آیدا یا یلدا عالیم لارغه اوقوتوب جان دل بیلان ایشتیب پر اوستادلار حقیدا پر چراغ قیلیب نظر خیر احسان قیلماسه لار پر اوستادلار نینک ارواح شریف لاریغه دعا و تکبر بیلان خشنود قیلماسه لار فروای قیامت ده یَخَلْقُ ماٰ یَشاٰءُ وَ یَحْکُمُ ماٰیُرِیْدُ کونلاری بولغاندا هوامیس دیک یر تموردیک قزیب خلایق لار اوّلین آفرین یغیلغاندا کاسیب لاریکه هنرلاریکه اعتقاد قیلماغانلار و رسالۀ که عمل قیلمای و هم پرلار حقیدا نظر قیلماغانلارنینک احوالی بو قاتّیق	9 هفته دایا آیدا یا بلدا عالم الارعا و قوتوب جان دل پلان ایشتیب پر اوستا دلار حقید اید چراغ قیلی نظر خیر احسان فیلما سه لار چرا وستا دلار یک ارواح شریف لاریعہ دعا و کبر بیلال منشنود فیلمان لار فردای قیامت ده تخلقُ مَا يَشَاءُ قدار بت ويحكم ما پریڈ کو نلاری بولغاندا ہوا میں ایک پر غمورد یک قریب خلایق لار اولین آفرین یخلغاندا کا لیب لاریکہ ہزار یک اقتصاد فلما نغانلار و رساله که عمل فیلمهای دهم پردار ، وہم قید نظر قیلما غانلار بینک احوالی و کاتیش
Jarring_Prov_2	6b	jarring_manuscripts_data/images/Jarring_Prov_2/Jarring_Prov_2_006_v.Lanczos.800.65_6b.jpg	0.9286	0.2443	کونلارده پر اوستادلار آلدیدا خجالت و شرمنده لیکده باش کوتارالماکایلار و پر کامل لار فروا قیلماغایلار نعوذ باالله مِنْ ذالك و ینه انداغ روایت قیلیب دورلارکیم هر روغن کش کاسیب لار کسب هنر قیلیب لقمه یب دورلار البتّه رساله بیلان عمل قیلیب هنردین رونق تاپیب و هم برکت تاپیب هم آخرتده عزّت ابروی شرافت نصب قیلغای پرکامل لار قطاریدا تورغایلار یوزلاری اون تورت کونلوک تولون آی دیک ماه تابان بولغایلار	۱۰ کو نلارده پر اوستاد لارز الدیدا خجالت و شرمنده لیکره باش کو تارا لما کا بلارو پر کامل الار فروا پر و قبلا فابلار نعوذ بالله من ذالك وین انداغ روایت قیلیب دور لاریم پر روغن کش کا سیلار کسب ہر قیلیب لحرب و حضرت مو ول دور لار البته رسالہ بیلال عمل قیلاب ہردین رونق تاییب و هم برکت تا پیب ہم آفرزند فرما الله عزت ابو وی شرافت نصیب قیلفا‎ پر کامل لار قطار بدا تور یا بلار بوزلاری اول تورت کو تلور تولون آی دیک ما تابان بولنا پلار
